"ISBN","Title","Author","Pages","Release"
"","Happy Hour is 9 to 5","Alexander Kjerulf","",""
"020130998X","The Unified Modeling Language Reference Manual","James Rumbaugh, Ivar Jacobson, Grady Booch","576","jan 1999"
"032142316X","Adobe Flex 2: Training from the Source","Jeff Tapper, Matt Boles, James Talbot, Ben Elmore, Mike Labriola","624","okt 2006"
"0072253606","SCJP Sun Certified Programmer for Java 5 Study Guide","Katherine Sierra, Bert Bates","825","dec 2005"
"097776222X","Rich Internet Applications with Adobe Flex & Java","Yakov Fain, Dr. Victor Rasputnis, Anatole Tartakovsk","","feb 2007"
"0130911119","J2EE Applications and BEA WebLogic Server","Michael Girdley, Rob Woollen, Sandra Emerson","720","aug 2001"
"0131347969","JBoss","Michael Juntao Yuan, Thomas Heute","432","maj 2007"
"0132417995","Professional Ruby Collection: Mongrel, Rails Plugins, Rails Routing, Refactoring to REST, and Rubyisms CD1","James Adam, David A. Black, Trotter Cashion, Jacob Harris, Matt Pelletier, Zed Shaw","192","aug 2007"
"0137488807","Applying UML and Patterns","Craig Larman","507","okt 1997"
"159059410X","Pro Jakarta Velocity: From Professional to Expert","Rob Harrop","370","aug 2004"
"0201571684","The Unified Modeling Language User Guide","Grady Booch, James Rumbaugh, Ivar Jacobson","512","sep 1998"
"0201615770","Building Web Applications with UML","Jim Conallen","320","dec 1999"
"0201699478","Crystal Clear: A Human-Powered Methodology for Small Teams","Alistair Cockburn","336","okt 2004"
"0201835959","The Mythical Man-Month: Essays on Software Engineering, Anniversary Edition","Frederick P. Brooks","336","aug 1995"
"0321130006","Effective Enterprise Java","Ted Neward","496","sep 2004"
"0321193687","UML Distilled: A Brief Guide to the Standard Object Modeling Language","Martin Fowler","208","sep 2003"
"0321228359","The .NET Developer's Guide to Windows Security","Keith Brown","408","okt 2004"
"0321278658","Extreme Programming Explained: Embrace Change","Kent Beck, Cynthia Andres","224","nov 2004"
"0321293916","CSS Web Site Design Hands on Training","Eric Meyer","456","nov 2006"
"0321437381","Implementing Lean Software Development: From Concept to Cash","Mary Poppendieck, Tom Poppendieck","304","sep 2006"
"0321445619","The Rails Way","Obie Fernandez","912","nov 2007"
"0321482751","Agile Software Development: The Cooperative Game","Alistair Cockburn","504","okt 2006"
"0321525655","Presentation Zen: Simple Ideas on Presentation Design and Delivery","Garr Reynolds","240","jan 2008"
"0471316156","Client/Server Survival Guide, 3rd Edition","Robert Orfali, Dan Harkey, Jeri Edwards","800","jan 1999"
"9788711171332","En god idé - fik du den?","Ulrik Haagerup","267 sider","feb 2006"
"9788721028473","Et positivt nej der virker","William Ury","",""
"9788759310335","Storytelling - branding i praksis","Klaus Fog, Christian Budtz, Baris Yakaboylu","232 sider","mar 2003"
"9788770551908","Bristepunktet","Birgitte Erhardsen","",""
"9788776640156","IT-boblen","Peder Bjerge, Claus Thorhauge","255 sider","feb 2004"
"9788776642129","Ledelse af netværk - virksomhedens skjulte ressource","Christian Waldstrøm, Bent Engelbrecht","",""
"9788776920586","Kolind kuren","Lars Kolind","287 sider","feb 2006"
"9788777064340","Flow og engagement i hverdagen","Mihaly Csikszentmihalyi","179 sider","feb 2005"
"9788779004061","Hurtigt i gang med Flash 8","Heine Lennart Christensen","171 sider","feb 2006"
"9788779171077","Håndbog i høflighed - kulturelle koder i elleve EU-lande","Ulla Gjedde Palmgren","",""
"9788779342422","Entrepreneurship i vidensamfundet","Jens Christensen","288 sider","feb 2005"
"0471332291","Mastering Enterprise JavaBeans and the Java 2 Platform, Enterprise Edition","Ed Roman","752","sep 1999"
"0471682721","Dynamic Enterprise Architecture: How to Make It Work","Roel Wagter, Martin Van Den Berg, Joost Luijpers, Marlies Van Steenbergen","256","jan 2005"
"0586208925","All I Really Need to Know I Learned in Kindergarten","Robert Fulghum","208","okt 1990"
"0596000685","Java Message Service","Richard Monson-Haefel, David Chappell","238","feb 2000"
"0596007019","Java Cookbook, Second Edition","Ian Darwin","862","jun 2004"
"0596007825","Java Threads","Scott Oaks, Henry Wong","358","sep 2004"
"0596009127","Mac OS X Tiger for Unix Geeks","Brian Jepson, Ernest Rothman","415","jun 2005"
"0596101996","JavaScript: The Definitive Guide","David Flanagan","1018","aug 2006"
"0596526954","ActionScript 3.0 Cookbook: Solutions for Flash Platform and Flex Application Developers","Joey Lott, Darron Schall, Keith Peters","586","okt 2006"
"0672328844","The Ruby Way, Second Edition: Solutions and Techniques in Ruby Programming","Hal Fulton","888","nov 2006"
"0684858398","The 7 Habits of Highly Effective People","Stephen R. Covey","384","jan 1999"
"0712678867","Maverick!","Ricardo Semler","332","sep 2001"
"0761963391","Social Network Analysis: A Handbook","John P Scott","240","apr 2000"
"0764557599","Professional C#","Simon Robinson, Christian Nagel, Karli Watson, Jay Glynn, Morgan Skinner, Bill Evjen","1224","jun 2004"
"0764569090","XSLT 2.0 Programmer's Reference","Michael Kay","960","aug 2004"
"0787961485","Leading Geeks: How to Manage and Lead the People Who Deliver Technology","Paul Glen, David H. Maister, Warren G. Bennis","250","nov 2002"
"0974514012","Pragmatic Unit Testing in Java with JUnit","Andy Hunt, Dave Thomas","176","feb 2003"
"0974514039","Pragmatic Project Automation: How to Build, Deploy, and Monitor Java Apps","Mike Clark","176","feb 2004"
